"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-07",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"97",",,0","63",",,0","70",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-08",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"99",",,0","64",",,0","76",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-09",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"98",",,0","61",",,0","68",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-10",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"86",",,0","52",",,0","66",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-11",,,,,,,,,,,,,"0.39",",,0,0700","0.0","P,,0","0.0","P,,0",,,"91",",,0","64",",,0","69",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-12",,,,,,,,,,,,,"0.09",",,0,0700","0.0","P,,0","0.0","P,,0",,,"89",",,0","68",",,0","69",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-13",,,,,,,,,,,,,"0.29",",,0,0700","0.0","P,,0","0.0","P,,0",,,"86",",,0","68",",,0","68",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-14",,,,,,,,,,,,,"1.82",",,0,0700","0.0","P,,0","0.0","P,,0",,,"87",",,0","68",",,0","71",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-15",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"94",",,0","70",",,0","75",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-16",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"96",",,0","62",",,0","76",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-17",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"96",",,0","64",",,0","67",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-18",,,,,,,,,,,,,"0.64",",,0,0700","0.0","P,,0","0.0","P,,0",,,"94",",,0","61",",,0","62",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-19",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"83",",,0","62",",,0","64",",,0,0700",,
